date,op_nxt_actual,hi_nxt_actual,lo_nxt_actual,cl_nxt_actual,op_nxt_predicted,hi_nxt_predicted,lo_nxt_predicted,cl_nxt_predicted
2024-02-08,44986.75,45718.15,44859.15,45634.55,44939.335597209305,45283.01962907955,44544.588612984044,44959.96944129481
2024-02-09,45664.3,45748.5,44633.85,44882.25,45836.16915316728,46013.856287847884,45459.71968540702,45734.864884712
2024-02-12,45056.8,45750.4,44819.55,45502.4,44792.50261038746,45063.916389099824,44409.889487451306,44776.34090054887
2024-02-13,45014.65,46170.45,44860.75,45908.3,45658.737607389914,45809.468074460674,45313.27631129297,45594.77920265764
2024-02-14,46027.1,46297.7,45590.2,46218.9,46005.156198871795,46145.807177361254,45663.38616803127,45912.66376074895
2024-02-15,46454.3,46693.4,46264.4,46384.85,46234.9748254183,46378.65735045967,45928.38594280229,46172.225669447624
2024-02-16,46554.9,46717.4,46317.7,46535.5,46398.78753570761,46555.17212255254,46101.497953238744,46365.96535374188
2024-02-19,46444.9,47136.75,46367.8,47094.2,46534.12809073602,46629.84220412161,46230.66745432394,46444.705493191694
2024-02-20,47363.4,47363.4,46886.95,47019.7,47185.6313196479,47262.016174824974,46881.88534916781,47074.044723618426
2024-02-21,46934.55,47024.05,46426.85,46919.8,46969.53761773592,47090.615284485604,46688.35944515918,46925.84806680769
2024-02-22,47060.7,47245.35,46723.15,46811.75,46944.57121538995,47043.97843732286,46641.48429224722,46835.79538792314
2024-02-23,46615.85,46893.15,46513.55,46576.5,46850.876358666654,46965.245662629895,46557.74318243009,46799.21555763026
2024-02-26,46480.2,46722.25,46324.9,46588.05,46645.03723088179,46758.61174131111,46321.50072845395,46556.1916190255
2024-02-27,46640.9,46754.55,45852.55,45963.15,46669.775522791555,46763.29582213966,46353.89408939294,46567.83237991428
2024-02-28,45881.45,46329.65,45661.75,46120.9,45915.8097528436,46090.586908147474,45564.78216088907,45855.637672958605
2024-02-29,46218.0,47342.25,46218.0,47286.8984,46319.03405234991,46488.813607547345,45963.05090011092,46240.625043935695
2024-03-01,47342.1,47392.95,47240.35,47297.5,47389.449459309915,47441.21972586157,47083.3427631603,47278.75964904727
2024-03-02,47318.5,47529.6016,47191.6484,47456.1016,47159.93100387998,47282.26294478865,46890.40911590827,47098.45039564835
2024-03-04,47265.6992,47737.8516,47196.75,47581.0,47376.91795689933,47508.77186154164,47121.1615624119,47332.42050515783
2024-03-05,47451.6484,48161.25,47442.25,47965.3984,47492.20979183656,47600.19033884301,47250.80237581443,47439.533911319275
