sum,mean,count
125320272,133889.1794871795,936
105459220,225340.2136752137,468
103174620,110229.29487179487,936
79851302,170622.44017094016,468
78704832,168172.71794871794,468
69096648,147642.41025641025,468
68305548,97301.35042735042,702
59800577,128052.62740899358,467
59720432,32246.453563714902,1852
58965938,125995.59401709402,468
56650026,121047.06410256411,468
43440988,92822.62393162394,468
43166174,92235.41452991453,468
37964164,40560.00427350427,936
37037962,79140.94444444444,468
34075956,26354.180974477957,1293
33531262,71647.99572649572,468
32210580,68826.02564102564,468
31202462,66671.92735042734,468
31170392,34103.27352297593,914
29192726,63187.718614718615,462
28571970,61051.217948717946,468
28349890,30418.336909871243,932
25552144,54598.59829059829,468
24869601,100280.6491935484,248
24719074,52818.53418803419,468
24587630,35634.24637681159,690
24203973,19726.139364303177,1227
23936282,25682.70600858369,932
23297772,22251.93123209169,1047
22352439,16375.413186813186,1365
21120885,16110.514874141876,1311
19937594,21392.268240343346,932
19289648,41217.19658119658,468
19276092,41188.230769230766,468
18595965,13653.425110132159,1362
18556065,13475.718954248367,1377
18470250,39466.346153846156,468
17940820,22314.45273631841,804
17868527,38262.3704496788,467
16927656,18085.102564102563,936
16883094,36074.98717948718,468
15150874,32442.985010706638,467
14345606,33913.9621749409,423
13950184,15130.351409978308,922
13887039,29800.512875536482,466
13732754,14926.90652173913,920
13573354,18747.726519337015,724
13564398,14648.37796976242,926
13463048,28767.196581196582,468
13341252,28506.94871794872,468
13306084,28431.803418803418,468
13304046,15015.853273137698,886
13249206,14277.161637931034,928
13060496,27907.042735042734,468
13059840,27905.641025641027,468
12864798,27606.862660944207,466
12614186,26953.38888888889,468
11896698,25584.29677419355,465
11828788,12801.718614718615,924
11607100,12400.747863247863,936
11386646,24540.185344827587,464
11026656,11831.175965665236,932
10831388,11902.624175824176,910
10794938,26853.079601990048,402
10754654,22980.029914529914,468
10552972,5862.762222222223,1800
10416154,22256.739316239316,468
10410606,22244.884615384617,468
10375690,11351.958424507658,914
10368684,22155.30769230769,468
10228608,11623.418181818182,880
10031146,11047.517621145375,908
9858244,21292.103671706263,463
9603662,10326.518279569893,930
9603342,20519.96153846154,468
9435285,7331.223776223776,1287
9382250,10132.019438444924,926
9170433,19763.86422413793,464
9123434,10070.015452538632,906
8979642,6666.400890868596,1347
8955391,19510.65577342048,459
8942536,10002.836689038031,894
8709302,18649.468950749466,467
8657811,6287.444444444444,1377
8519716,18204.521367521367,468
8371132,9448.230248306998,886
8345612,17986.23275862069,464
8233296,8910.493506493507,924
8141295,17775.75327510917,458
7916193,17097.6090712743,463
7885342,16885.100642398287,467
7823253,6360.368292682927,1230
7724232,6326.152334152334,1221
7650436,16851.180616740086,454
7598433,16270.734475374733,467
7526475,16151.2339055794,466
7485238,16272.256521739131,460
7335740,8061.252747252747,910
7190690,8439.776995305165,852
7078182,62638.77876106195,113
7010665,16341.876456876456,429
6896576,14767.82869379015,467
6717648,7564.918918918919,888
6683265,14311.059957173447,467
6607755,5028.732876712329,1314
6376033,15037.813679245282,424
6358979,13675.223655913978,465
6208898,13295.284796573877,467
6159884,7047.9221967963385,874
6108330,13278.978260869566,460
5970116,12783.974304068523,467
5908570,12652.18415417559,467
5886796,7451.640506329114,790
