Cinnamon Roll Centers Blizzard,890,350,32,20,1.5,120,390,132,1,106,18
Frosted Sugar Cookie Blizzard,960,290,42,19,1,75,400,129,1,100,17
Butterfinger Blizzard,730,230,26,15,1,55,330,107,2,81,18
Choco Brownie Extreme Blizzard,810,330,36,21,1,55,370,111,4,87,16
Chocolate Chip Cookie Dough Blizzard,1030,370,41,24,1,60,570,151,2,111,17
Heath Blizzard,860,330,37,23,1,65,440,119,1,106,16
M&M's Chocolate Candy Blizzard,800,240,27,17,1,60,250,124,2,107,16
OREO Cookie Blizzard,790,280,31,15,1,50,400,117,1,88,14
OREO Hot Cocoa Blizzard,1050,410,45,22,1.5,65,500,147,2,113,19
Reese's Peanut Butter Cups Blizzard,750,280,31,16,1,60,380,102,2,88,19
Reese's Take Five Blizzard,1120,440,49,21,1,65,860,145,5,111,29
Royal New York Cheesecake Blizzard Filled with Strawberry,1040,410,46,21,1.5,105,530,140,2,112,19
Royal Ultimate Choco Brownie Blizzard Filled with Fudge,1040,410,45,29,1,65,480,146,5,117,19
Snickers Blizzard,800,250,28,15,1,65,340,120,1,102,19
Snickers Brownie Blizzard,1010,340,37,20,1,70,510,151,3,118,21
Turtle Pecan Cluster Blizzard,1020,470,52,29,1,65,390,123,3,99,18
Very Cherry Chip Blizzard,730,230,25,18,1,65,250,113,2,97,16
